category,subcategory
teambuilding_y_actividades_actividades,Actividades
teambuilding_y_actividades_teambuilding,Actividades
teambuilding_y_actividades_teambuilding_actividades_de_pa,Actividades
precios_alimentacion_y_banqueteria,Gastronomia
precios_bebidas__y_bar,Gastronomia
precios_coffes_y_servicios_relacionado,Gastronomia
precios_picoteo_parrillando_con_amigos,Gastronomia
precios_alojamiento,Hospedaje
precios_valor_pax_adicional_en_la_mism,Hospedaje
capacidades_maximas_salones_y__chinook,Infraestructura
capacidades_maximas_salones_y__salones,Infraestructura
precios_arriendo_de_salones_audios_y_c,Infraestructura
precios_block_1,Infraestructura
precios_comedor_vip_y_terraza_2do_piso,Infraestructura
precios_cambios_de_horas_y_lugar_en_se,Operacional
precios_tecnica_para_salones_uso_diurn,Operacional
precios_otros_articulos,Otros
cotizacion_tipo_dia_1,Politica
cotizacion_tipo_presupuesto_valorizado,Politica
precios_spa,Wellness
