Alimentacion y banqueteria,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Desayuno,8:30-10:00,1,1,12500,12500,"Tipos de Café, Chocolate, té, leche, jugo, yogurt, cereales, Fruta, jamón, quesos, huevos, tocino, chorizo, verduras asadas, mermeladas, mantequilla, distintos tipos de panes, minipastelitos, queques, croissant."
Desayuno incluido por alojamiento,8:30-10:00,1,1,0,0,"Tipos de Café, Chocolate, té, leche, jugo, yogurt, cereales, Fruta, jamón, quesos, huevos, tocino, chorizo, verduras asadas, mermeladas, mantequilla, distintos tipos de panes, minipastelitos, queques, croissant."
"Almuerzo Sugerencias del chef  en formato Buffet, mas de 30 pasajeros. Menos de 30 es carta",13:30- 15:00,1,1,27310.92437,27310.92437,"Buffet tenedor libre con variedad de ensaladas, guarniciones y acompañamientos calientes. No incluye bebidas ni aperitivos. Si en el hotel hay menos de 30 personas el servicio a la carta, si contamos con mas de 30 personas será buffet.  Horario almuerzo desde 13:30 hasta 15:00 hrs"
"Cena Sugerencias del chef  en formato Buffet, mas de 30 pasajeros. Menos de 30 es carta",19:30- 21:00,1,1,27310.92437,27310.92437,"Buffet tenedor libre con opciones de Pizzas, fondos con carnes, acompañamientos, Salad bar, salsas, dressing, postres, sopas, inc café. . Horario cena desde 19:30 hasta 21:00.. Si en el hotel hay menos de 30 personas el servicio a la carta, si es mas de 30 personas será buffet."
Almuerzo o cena a la carta,13:30- 15:00,1,1,35000,35000,"Servicio de alimentacion a la carta, servido a la mesa. Es un menú único que debe elergirse con una semana de anticipación. Se sugiere agregar vinos para acompañar la comida"
Almuerzo o cena a la carta VIP,13:30- 15:00,1,1,45000,45000,"Servicio de alimentacion a la carta, servido a la mesa. Es un menú único que debe elergirse con una semana de anticipación. Se sugiere agregar vinos para acompañar la comida"
"Cena o Almuerzo parrilla, minimo 30 pax",19:30-21:00,1,1,35000,35000,"Preparacion de carnes de vacuno, cerdo, chorizos y prietas la parrilla,  mas acompañamientos, ensaladas y postre y café.No incluye bebidas ni aperitivos"
"Cena o Almuerzo parrilla, menos de 30 pax",19:30-21:00,1,1,45000,45000,"Preparacion de carnes, verduras y frutas a la parrilla,  mas acompañamientos, ensaladas y postre y café.No incluye bebidas ni aperitivos"
Once ,17:00 - 18:00,1,1,9800,9800,Bebida o agua con Hamburguesa lechuga tomate y helado.
Box lunch (Como una Once en cajitas individuales para que se la puedan llevar) ,,1,1,12000,12000,"Muffin o dos facturas, hamburguesa, una fruta, 1 bebida"
"Cata de vinos con somelier, minimo 10 personas y hasta 40.  Duración 1 hora",,1,1,$300.000 fijo mas $24.000 por persona,424000,"Cata de 4 vinos  reserva boutique, de la zona, con maridaje de quesos y encurtidos."
