Actividades ,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Guias exclusivos para caminatas,,,,80000,,1 guia cada 20 o 25 personas.( Ideal minimo dos para abrir y cerrar el grupo para caminatas)
"Caminata ""la tenca"" de forma exclusiva, 1,5 horas",,,,300.000+ 10.000 por persona,,"Caminata por circuito la tenca, entremedio de bosques y arroyos del lugar. Es un recorrido por los alrededores del hotel. Tiene una dificultad baja, duracion 1,5 horas y una distancia de 2,3 kilometros. Incluye un agua por persona"
"Caminata al mirador exclusiva.  Dificultad media, duracion: 1 hora",,,,300.000+ 10.000 por persona,,"Caminata a un mirador donde se puede observar el valle del aconcagua. Circuito ubicado al frente del hotel y es de dificultad media, dura 1 hora y tiene una distancia de 2 kilometros. Caminata incluyeun agua por persona"
Fogon pequeño (Fogata pequeña),,,,100000,,Fogata chica en calderos o pergola. Duración 2.5 horas.
Fogata grande,,,,250000,,Fogata grande en actividad de luz. Duración 2.5 horas.
Clase de pesca con mosca 3 horas(9 am a 12pm),,,,63025.21008,,
Arriendo de Caña ,,,,12605,,"Solo caña  todo el dia, las moscas tienen un valor adicional."
"Paseos a Caballo exclusivos, minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",,,,42016.80672,,"Paseo comienza con una clinica intruductoria y luego practica, donde conoceran el cajón de san francisco y sus bondades. Paseo incluye un agua por persona"
Paseo a caballo Vertiente del toro,,,,$109.000,,4 horas + induccion Almuerzo+cena+ activiades
Paseo a caballo Altos del Guindo,,,,$119.000,,5 horas + induccion Almuerzo+cena+ activiades
Uso de actividades,Ver horarios publicados en recepción ,0,0,"$21,008","$945,360","Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
Uso de actividades por cortesía,Ver horarios publicados en recepción ,,0,0,0,"Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
Yoga,,,,300.000 + 10.000 pesos por persona,,"Yoga, actividades de respiracion y relajacion por 1 hora, incluye un agua mineral por persona"
