Bebidas  y Bar,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Ticket de trago,,1,1,4850,4850,"1 trago pp a escoger entre: Piscola ( Mistral 35), Roncola (Havanna),  vodka (wyborowa), Whisky( Ballantines finest 3 años), Gin beefeter, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada con y sin alcohol, Copa de vino castillo molina( blanco y tinto) , copa de espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken con y sin alcohol,  Austral y Kunstmann. Las bebidas son de marcas CCU."
Ticket de cerveza,,1,1,3529.411765,3529.411765,"Ticket de cerveza en botella tales como: Sol, Heineken, Austral o Kunstmann."
Ticket de trago Vip,,1,1,6800,6800,"Piscola ( Mistral Nobel o 3R doble destilado), Roncola (Havanna reserva), Vodka( Absolut), Whisky (ballantines 7 años),Gin Kantal, Tequila Olmeca, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada, Vino  Gran Tarapacá( blanco y tinto) , Espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken,  Austral, Kunstmann botella y Barril Schop Kunstmann. Las bebidas son de marcas CCU."
"Bar abierto 4 horas, valor por persona",,1,1,30800,30800,"Piscola ( Mistra 35), Roncola (Havanna),  vodka (wyborowa), Whisky( Ballantines finest 3 años), Gin beefeter, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada( con y sin alcohol), Copa de vino castillo molina( blanco y tinto) , copa de espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken con y sin alcohol,  Austral y Kunstmann. Las bebidas son de marcas CCU. "
Hora extra Bar abierto por persona,,1,1,10010,10010,extensión de 1 hora para el bar abierto
"Bar abierto sin alcohol 4 horas, valor por persona",,1,1,32000,32000,"Mocktails tales como Piña colada, Chardonnay sour , San Francisco (Mocktail en base a jugo de naranja), Paloma (Mocktail en base a pomelo), Cerveza sin alcohol (Heineken 0.0), Limonada, Jugos naturales, Vino blanco sin alcohol, Sangria sin alcohol. Las bebidas son de marcas CCU."
Hora extra Bar abierto sin alcohol por persona,,1,1,10400,10400,extensión de 1 hora para el bar abierto
"Bar abierto VIP  4 horas, valor por persona",,1,1,38000,38000,"Piscola ( Mistral Nobel o 3R doble destilado), Roncola (Havanna reserva), Vodka( Absolut), Whisky (ballantines 7 años),Gin Kantal, Tequila Olmeca, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada, Vino  Gran Tarapacá( blanco y tinto) , Espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken,  Austral, Kunstmann botella y Barril Schop Kunstmann. Las bebidas son de marcas CCU."
Hora extra Bar abierto Vip por persona,,1,1,12350,12350,extensión de 1 hora para el bar abierto
"Bar Abierto de bebidas en vaso por 4 horas, por persona",,1,1,12000,12000,Botellas de 3 litros CCU servido en vaso desechable (ver tamaño)
"Bar Abierto de bebidas en vaso por 8 horas, por persona",,1,1,20000,20000,Botellas de 3 litros CCU servido en vaso desechable (ver tamaño)
Bebidas ,,1,1,1933,1933,Lata de bebida o agua  ccu
Ticket de bebida o agua,,1,1,1933,1933,Lata de bebida o agua ccu
Barril de cerveza kuntsman torobayo 30L,,1,1,220000,220000,Barril de cerveza torobayo exclusivo
"Bebestibles adicionales en Salón (Bebidas, Jugos Naturales, Agua Mineral)",,1,1,ver listado de bar,,Visitar QR para mayor detalles ( https://gour.media/san-francisco-lodge/ )
Vino Castillo Molina,,1,1,13025.21008,13025.21008,Se recomienda 1 botella para 5 personas
Vino Casillero del diablo Reserva Especial,,1,1,13445.37815,13445.37815,Se recomienda 1 botella para 5 personas
Vino Marques Casa Concha,,1,1,20168.06723,20168.06723,Se recomienda 1 botella para 5 personas
