item_name,item_extra,category,subcategory,source_row
guias exclusivos para caminatas,,teambuilding_y_actividades_actividades,Actividades,1
caminar la tenca exclusiva,"Caminata ""la tenca"" de forma exclusiva, 1,5 horas",teambuilding_y_actividades_actividades,Actividades,2
caminar al mirador exclusiva,".  Dificultad media, duracion: 1 hora",teambuilding_y_actividades_actividades,Actividades,3
fogon pequeño,(Fogata pequeña),teambuilding_y_actividades_actividades,Actividades,4
fogata grande,,teambuilding_y_actividades_actividades,Actividades,5
clasar de pesca con mosca 3 horas,(9 am a 12pm),teambuilding_y_actividades_actividades,Actividades,6
arrendar de caña,,teambuilding_y_actividades_actividades,Actividades,7
pasears a caballo exclusivos,", minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",teambuilding_y_actividades_actividades,Actividades,8
pasear a caballo vertiente del toro,,teambuilding_y_actividades_actividades,Actividades,9
pasear a caballo altos del guindo,,teambuilding_y_actividades_actividades,Actividades,10
usar de actividades,,teambuilding_y_actividades_actividades,Actividades,11
usar de actividades por cortesía,,teambuilding_y_actividades_actividades,Actividades,12
yoga,,teambuilding_y_actividades_actividades,Actividades,13
salon chinook,Chinook,capacidades_maximas_salones_y__chinook,Infraestructura,1
salon arcoiris 1,Arcoiris 1,capacidades_maximas_salones_y__chinook,Infraestructura,2
salon arcoiris 2,Arcoiris 2,capacidades_maximas_salones_y__chinook,Infraestructura,3
salon coho,Coho,capacidades_maximas_salones_y__chinook,Infraestructura,4
salon fario 1,Fario 1,capacidades_maximas_salones_y__chinook,Infraestructura,5
salon fario 2,Fario 2,capacidades_maximas_salones_y__chinook,Infraestructura,6
salon quincho,Quincho(fiesta uso recomendado),capacidades_maximas_salones_y__chinook,Infraestructura,7
salon domo,Domo,capacidades_maximas_salones_y__chinook,Infraestructura,8
salon directorio,Directorio,capacidades_maximas_salones_y__chinook,Infraestructura,9
masajista exclusiva masajes relax 30 min,"Masajista exclusiva, para masajes relax 30 minutos",precios_spa,Wellness,1
masajear de relajacion de media hora,",",precios_spa,Wellness,2
gorros de piscinas lycra,Gorros de piscinas  lycra,precios_spa,Wellness,3
gorros de piscinas latex,Gorros de piscinas  latex,precios_spa,Wellness,4
piscina temperada nocturna exclusiva 1h,Piscina temperada nocturna exclusiva por 1 hora,precios_spa,Wellness,5
cambiar de montaje chinook,Cambios de montaje  Chinook durante el arriendo de salon.,precios_block_1,General,1
cambiar de montaje coho,Cambios de montaje Coho durante el arriendo de salon.,precios_block_1,General,2
cambiar de montaje farios y arcoiris,Cambios de montaje  Farios y Arcoiris durante el arriendo de salon.,precios_block_1,General,3
habitación single hotel b&b,,precios_alojamiento,Hospedaje,1
habitación doble hotel b&b,,precios_alojamiento,Hospedaje,2
habitación triple hotel b&b,,precios_alojamiento,Hospedaje,3
habitación cuadruple hotel b&b,Habitación Cuadruple hotel  B&B,precios_alojamiento,Hospedaje,4
habitación quintuple hotel b&b,,precios_alojamiento,Hospedaje,5
cabaña 6 pasajeros b&b,"Valor 6 pasajeros, en cabaña B&B",precios_alojamiento,Hospedaje,6
cabaña 7 pasajeros b&b,"Valor 7 pasajeros, en cabaña B&B",precios_alojamiento,Hospedaje,7
cabaña 8 pasajeros b&b,"Valor 8 pasajeros, en cabaña B&B",precios_alojamiento,Hospedaje,8
ticket de trago,,precios_bebidas__y_bar,General,1
ticket de cerveza,,precios_bebidas__y_bar,General,2
ticket de trago vip,,precios_bebidas__y_bar,General,3
bar abierto 4 horas,", valor por persona",precios_bebidas__y_bar,General,4
hora extra bar abierto,por persona,precios_bebidas__y_bar,General,5
bar abierto sin alcohol 4 horas,", valor por persona",precios_bebidas__y_bar,General,6
