Actividades ,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Guias exclusivos para caminatas,,,,80000,,1 guia cada 20 o 25 personas.( Ideal minimo dos para abrir y cerrar el grupo para caminatas)
"Caminata ""la tenca"" de forma exclusiva, 1,5 horas",,,,200.000+ 5.000 por persona,,"Caminata por circuito la tenca, entremedio de bosques y arroyos del lugar. Es un recorrido por los alrededores del hotel. Tiene una dificultad baja, duracion 1,5 horas y una distancia de 2,3 kilometros. Incluye un agua por persona"
"Caminata al mirador exclusiva.  Dificultad media, duracion: 1 hora",,,,200.000+ 5.000 por persona,,"Caminata a un mirador donde se puede observar el valle del aconcagua. Circuito ubicado al frente del hotel y es de dificultad media, dura 1 hora y tiene una distancia de 2 kilometros. Caminata incluyeun agua por persona"
Fogon pequeño (Fogata pequeña),,,,100000,,Fogata chica en calderos o pergola. Duración 2.5 horas.
Fogata grande,,,,250000,,Fogata grande en actividad de luz. Duración 2.5 horas.
Clase de pesca con mosca 3 horas(9 am a 12pm),,,,63025.21008,,
Arriendo de Caña ,,,,12605,,"Solo caña  todo el dia, las moscas tienen un valor adicional."
"Paseos a Caballo exclusivos, minimo 4 pasajeros, duracion 3-4 horas. Maximo 20 personas",,,,42016.80672,,"Paseo comienza con una clinica intruductoria y luego practica, donde conoceran el cajón de san francisco y sus bondades. Paseo incluye un agua por persona"
Paseo a caballo Vertiente del toro,,,,$109.000,,4 horas + induccion Almuerzo+cena+ activiades
Paseo a caballo Altos del Guindo,,,,$119.000,,5 horas + induccion Almuerzo+cena+ activiades
"Safari ecuestre en tractor, maximo 15 personas. duracion 3 horas",,,,200.000+ 55.000pp,,"4 horas, paseo en tractor a ver las yeguas en potrero + apertivo campestre con chorizos a la parrilla y pebre."
Uso de actividades,Ver horarios publicados en recepción ,0,0,23109,"$945,360","Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
Uso de actividades por cortesía,Ver horarios publicados en recepción ,,0,0,0,"Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
Yoga,,,,200.000 + 5.000 pesos por persona,,"Yoga, actividades de respiracion y relajacion por 1 hora, incluye un agua mineral por persona"
"Laguna Kayak, 2 horas",,,,250000,,
"Arriendo de kayak o SUP  ( valor unitario), 2 horas",,,,30000,,Incluye chaleco salvavidas y un guia.
Canopy exclusivo por 2 horas,,,,250000,,
Cancha de Futbol por 2 horas,,,,300000,,
