"Teambuilding, actividades de pausa",Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Los Neumaticos,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Totem,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
La estrella,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Tirar la cuerda,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
El equilibrio,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
El Enredo,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Baile Entretenido,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Gimnasia de Pausa ,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Yoga,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
La Bolita,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Ula Ula,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Carrera de Sacos ,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
Bob Esponja,,,,150.000 + 3.000 por persona,,actividades de pausa de 15- 30 minutos aprox. cada una
