Categoria,Item,Horario,Valor Original,Valor Fijo,Valor por persona,Detalle de servicios.
"Arriendo de salones, audios y comedores","Salon Chinook uso diurno, hasta 320 personas ",8:30-19:30,$385.000,"385.000,00","0,00","Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. Incluye arranque trifasico para productoras (Definir montaje)"
"Arriendo de salones, audios y comedores","Salon Coho uso diurno, hasta 120 personas ",8:30-19:30,$330.000,"330.000,00","0,00","Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. ( Definir montaje)"
"Arriendo de salones, audios y comedores","Salon Fario uso diurno, hasta 70 personas ",8:30-19:30,$242.000,"242.000,00","0,00","Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. ( Definir montaje)"
"Arriendo de salones, audios y comedores","Salón Arcoiris uso diurno, hasta 70 personas ",8:30-19:30,$209.000,"209.000,00","0,00","Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. ( Definir montaje)"
"Arriendo de salones, audios y comedores","Directorio uso diurno para 16 personas, mesa imperial",8:30-19:30,$319.000,"319.000,00","0,00","Equipado con TV, papelógrafo, aire acondicionado y calefacción, 8 h Día."
"Arriendo de salones, audios y comedores",Domo para 240 personas ,8:30-19:30,$550.000,"550.000,00","0,00",Domo rústico incluye arranque trifasico para productoras.
"Arriendo de salones, audios y comedores",Cambios de montaje  Chinook durante el arriendo de salon.,,$150.000,"150.000,00","0,00",Cambio de montaje durante la jornada de trabajo
"Arriendo de salones, audios y comedores",Cambios de montaje Coho durante el arriendo de salon.,,$100.000,"100.000,00","0,00",Cambio de montaje durante la jornada de trabajo
"Arriendo de salones, audios y comedores",Cambios de montaje  Farios y Arcoiris durante el arriendo de salon.,,$80.000,"80.000,00","0,00",Cambio de montaje durante la jornada de trabajo
"Arriendo de salones, audios y comedores",Comedor VIP y terraza (2do piso) para 80 personas 8 horas uso diurno,,$365.000,"365.000,00","0,00",Comedor en 2do piso con terraza para servicios de alimentacion exclusivos. Posee una terraza exclusiva.
"Arriendo de salones, audios y comedores","Comedor truchita o ex pool y terraza para 35 personas, 8 horas uso diurno",,$250.000,"250.000,00","0,00",Comedor exclusivo para maximo  35 personas
"Arriendo de salones, audios y comedores","Arriendo pergola con parrilla para 16 personas, 8 horas uso diurno",,$250.000,"250.000,00","0,00",Pergola exclusiva con parrilla
"Arriendo de salones, audios y comedores","Comedor VIP y terraza (2do piso) para 70 personas 1,5 hrs / AM O PM (ALMUERZO O CENA)",,$265.000,"265.000,00","0,00",Comedor en 2do piso con terraza para servicios de alimentacion exclusivos. Posee una terraza exclusiva.
"Arriendo de salones, audios y comedores","Comedor truchita o ex pool y terraza para 35 personas 1,5 horas / AM O PM (ALMUERZO O CENA)",,$150.000,"150.000,00","0,00",Comedor exclusivo para maximo  35 personas
"Arriendo de salones, audios y comedores","Arriendo pergola con parrilla para 16 personas, 4 horas",,$150.000,"150.000,00","0,00",Pergola exclusiva con parrilla
"Arriendo de salones, audios y comedores","Arriendo pergola picadero solo con autorizacion, 2 dias antes.",,$100.000,"100.000,00","0,00",Arriendo por una pergola techada en el sector del picadero.
"Arriendo de salones, audios y comedores",Tecnica para salones uso diurno., ,$165.000,"165.000,00","0,00","Data, amplificacion, 2 microfonos para uso en el dia."
"Arriendo de salones, audios y comedores",Audio 4 horas en la noche,,$300.000,"300.000,00","0,00","Data, amplificacion, 2 microfonos para uso noche."
"Arriendo de salones, audios y comedores",Amplificacion exterior,,$200.000,"200.000,00","0,00",2 parlantes con microfono ubicado en exteriores cercanos a algun punto electrico.
"Arriendo de salones, audios y comedores",Microfono inalambrico adicional,,$50.000,"50.000,00","0,00",
"Arriendo de salones, audios y comedores",Microfono solapa adicional,,$50.000,"50.000,00","0,00",
