ID_Item,Nombre,ID_Categoria,ID_Perfil_Precio_Override,ID_Perfil_Init_Override,Default_Glosa,Activo,Updated_At
ITEM_SALON_CHINOOK_USO_DIURNO_HASTA_320_PERSONAS,"Salon Chinook uso diurno, hasta 320 personas",CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_SALON_CHINOOK_USO_DIURNO_HASTA_320_PERSONAS,,"Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. Incluye arranque trifasico para productoras (Definir montaje)",true,2026-02-19T16:42:08.795Z
ITEM_SALON_COHO_USO_DIURNO_HASTA_120_PERSONAS,"Salon Coho uso diurno, hasta 120 personas",CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_SALON_COHO_USO_DIURNO_HASTA_120_PERSONAS,,"Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. ( Definir montaje)",true,2026-02-19T16:42:08.795Z
ITEM_SALON_FARIO_USO_DIURNO_HASTA_70_PERSONAS,"Salon Fario uso diurno, hasta 70 personas",CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_SALON_FARIO_USO_DIURNO_HASTA_70_PERSONAS,,"Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. ( Definir montaje)",true,2026-02-19T16:42:08.795Z
ITEM_SALON_ARCOIRIS_USO_DIURNO_HASTA_70_PERSONAS,"Salón Arcoiris uso diurno, hasta 70 personas",CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_SALON_ARCOIRIS_USO_DIURNO_HASTA_70_PERSONAS,,"Equipado con papelógrafo, aire acondicionado y calefacción, 8 h Día. ( Definir montaje)",true,2026-02-19T16:42:08.795Z
ITEM_DIRECTORIO_USO_DIURNO_PARA_16_PERSONAS_MESA_IMPERIAL,"Directorio uso diurno para 16 personas, mesa imperial",CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_DIRECTORIO_USO_DIURNO_PARA_16_PERSONAS_MESA_IMPERIAL,,"Equipado con TV, papelógrafo, aire acondicionado y calefacción, 8 h Día.",true,2026-02-19T16:42:08.795Z
ITEM_DOMO_PARA_240_PERSONAS,Domo para 240 personas,CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_DOMO_PARA_240_PERSONAS,,Domo rústico incluye arranque trifasico para productoras.,true,2026-02-19T16:42:08.795Z
ITEM_CAMBIOS_DE_MONTAJE_CHINOOK_DURANTE_EL_ARRIENDO_DE_SALON,Cambios de montaje  Chinook durante el arriendo de salon.,CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_CAMBIOS_DE_MONTAJE_CHINOOK_DURANTE_EL_ARRIENDO_DE_SALON,,Cambio de montaje durante la jornada de trabajo,true,2026-02-19T16:42:08.795Z
ITEM_CAMBIOS_DE_MONTAJE_COHO_DURANTE_EL_ARRIENDO_DE_SALON,Cambios de montaje Coho durante el arriendo de salon.,CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_CAMBIOS_DE_MONTAJE_COHO_DURANTE_EL_ARRIENDO_DE_SALON,,Cambio de montaje durante la jornada de trabajo,true,2026-02-19T16:42:08.795Z
ITEM_CAMBIOS_DE_MONTAJE_FARIOS_Y_ARCOIRIS_DURANTE_EL_ARRIENDO_DE_SALON,Cambios de montaje  Farios y Arcoiris durante el arriendo de salon.,CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_CAMBIOS_DE_MONTAJE_FARIOS_Y_ARCOIRIS_DURANTE_EL_ARRIENDO_DE_SALON,,Cambio de montaje durante la jornada de trabajo,true,2026-02-19T16:42:08.795Z
ITEM_COMEDOR_VIP_Y_TERRAZA_2DO_PISO_PARA_80_PERSONAS_8_HORAS_USO_DIURNO,Comedor VIP y terraza (2do piso) para 80 personas 8 horas uso diurno,CAT_ARRIENDO_DE_SALONES_AUDIOS_Y_COMEDORES,PROF_COMEDOR_VIP_Y_TERRAZA_2DO_PISO_PARA_80_PERSONAS_8_HORAS_USO_DIURNO,,Comedor en 2do piso con terraza para servicios de alimentacion exclusivos. Posee una terraza exclusiva.,true,2026-02-19T16:42:08.795Z
