ID_Perfil_Precio,Nombre,Costo_Base_Fijo,Costo_Unitario_Pax,Costo_Unitario_Tiempo,Costo_Unitario_Item,Activo,Updated_At
PROF_SALON_CHINOOK_USO_DIURNO_HASTA_320_PERSONAS,"Perfil Salon Chinook uso diurno, hasta 320 personas",385000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_SALON_COHO_USO_DIURNO_HASTA_120_PERSONAS,"Perfil Salon Coho uso diurno, hasta 120 personas",330000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_SALON_FARIO_USO_DIURNO_HASTA_70_PERSONAS,"Perfil Salon Fario uso diurno, hasta 70 personas",242000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_SALON_ARCOIRIS_USO_DIURNO_HASTA_70_PERSONAS,"Perfil Salón Arcoiris uso diurno, hasta 70 personas",209000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DIRECTORIO_USO_DIURNO_PARA_16_PERSONAS_MESA_IMPERIAL,"Perfil Directorio uso diurno para 16 personas, mesa imperial",319000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DOMO_PARA_240_PERSONAS,Perfil Domo para 240 personas,550000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIOS_DE_MONTAJE_CHINOOK_DURANTE_EL_ARRIENDO_DE_SALON,Perfil Cambios de montaje  Chinook durante el arriendo de salon.,150000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIOS_DE_MONTAJE_COHO_DURANTE_EL_ARRIENDO_DE_SALON,Perfil Cambios de montaje Coho durante el arriendo de salon.,100000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIOS_DE_MONTAJE_FARIOS_Y_ARCOIRIS_DURANTE_EL_ARRIENDO_DE_SALON,Perfil Cambios de montaje  Farios y Arcoiris durante el arriendo de salon.,80000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COMEDOR_VIP_Y_TERRAZA_2DO_PISO_PARA_80_PERSONAS_8_HORAS_USO_DIURNO,Perfil Comedor VIP y terraza (2do piso) para 80 personas 8 horas uso diurno,365000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COMEDOR_TRUCHITA_O_EX_POOL_Y_TERRAZA_PARA_35_PERSONAS_8_HORAS_USO_DIURNO,"Perfil Comedor truchita o ex pool y terraza para 35 personas, 8 horas uso diurno",250000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ARRIENDO_PERGOLA_CON_PARRILLA_PARA_16_PERSONAS_8_HORAS_USO_DIURNO,"Perfil Arriendo pergola con parrilla para 16 personas, 8 horas uso diurno",250000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COMEDOR_VIP_Y_TERRAZA_2DO_PISO_PARA_70_PERSONAS_1_5_HRS_AM_O_PM_ALMUERZO_O_CENA,"Perfil Comedor VIP y terraza (2do piso) para 70 personas 1,5 hrs / AM O PM (ALMUERZO O CENA)",265000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COMEDOR_TRUCHITA_O_EX_POOL_Y_TERRAZA_PARA_35_PERSONAS_1_5_HORAS_AM_O_PM_ALMUERZO_O_CENA,"Perfil Comedor truchita o ex pool y terraza para 35 personas 1,5 horas / AM O PM (ALMUERZO O CENA)",150000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ARRIENDO_PERGOLA_CON_PARRILLA_PARA_16_PERSONAS_4_HORAS,"Perfil Arriendo pergola con parrilla para 16 personas, 4 horas",150000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ARRIENDO_PERGOLA_PICADERO_SOLO_CON_AUTORIZACION_2_DIAS_ANTES,"Perfil Arriendo pergola picadero solo con autorizacion, 2 dias antes.",100000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TECNICA_PARA_SALONES_USO_DIURNO,Perfil Tecnica para salones uso diurno.,165000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_AUDIO_4_HORAS_EN_LA_NOCHE,Perfil Audio 4 horas en la noche,300000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_AMPLIFICACION_EXTERIOR,Perfil Amplificacion exterior,200000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_MICROFONO_INALAMBRICO_ADICIONAL,Perfil Microfono inalambrico adicional,50000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_MICROFONO_SOLAPA_ADICIONAL,Perfil Microfono solapa adicional,50000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_OPERADOR_PARA_AUDIO_8_HRS,Perfil Operador para audio 8 hrs,140000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PAPELOGRAFO_ADICIONAL_PARA_EL_SALON,Perfil Papelografo adicional para el salon,30000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COFFEE_BASICO,Perfil Coffee Básico,6380,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COFFEE_INTERMEDIO,Perfil Coffee Intermedio,10395,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COFFE_FULL,Perfil Coffe Full,16500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COFFE_LIGHT,Perfil Coffe Light,10395,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ADICIONAR_COFFE_DENTRO_DEL_SALON,Perfil Adicionar coffe dentro del Salon,3500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_MAQUINA_CAFE_MILANO_CON_CARGA_PARA_120_CAFES_APP_AUTOSERVICIO,Perfil Maquina Cafe Milano con carga para 120 cafes app. ( autoservicio),200000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_1_TAPADITO,Perfil 1 tapadito,2500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_1_MEDIALUNA,Perfil 1 medialuna,1800,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_GALLETAS_DE_MANTEQUILLA_3_POR_PERSONA,Perfil Galletas de mantequilla  3 por persona,1500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAFE_DE_GRANO_O_TE_EN_SALON_8_HRS,Perfil Cafe de grano o te en salon 8 hrs,7500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DISPENSADOR_DE_AGUA_20_LTS_EN_SALON,Perfil Dispensador de agua 20 Lts en salon,60000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_RECARGA_DE_BIDON_DE_20_LTS_PARA_DISPENSADOR_DE_AGUA,Perfil Recarga de bidon de 20 Lts para dispensador de agua,40000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAFE_DE_GRANO_TE_Y_AGUA_FRIA_CALIENTE_EN_SALON_POR_8_HORAS,"Perfil Cafe de grano, te y agua fria /caliente en salon  por 8 horas.",10000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_LUCES_PERIMETRALES_SALON_CHINOOK_O_VIP,Perfil Luces perimetrales salon chinook o vip,160000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DJ_Y_O_KARAOKE_POR_4_HRS_PARA_GRUPOS_MENORES_50_PAX,Perfil DJ y/o Karaoke por 4 hrs para grupos menores 50 Pax,850000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_HORA_EXTRA_DJ_Y_O_KARAOKE_POR_4_HRS_PARA_GRUPOS_MENORES_50_PAX,Perfil Hora extra DJ y/o Karaoke por 4 hrs para grupos menores 50 Pax,276250,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DJ_Y_O_KARAOKE_PARA_GRUPOS_MAYORES_A_50_PAX,Perfil DJ y/o Karaoke para grupos mayores a 50 Pax,1200000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_HORA_EXTRA_DJ_Y_O_KARAOKE_PARA_GRUPOS_MAYORES_A_50_PAX,Perfil Hora extra DJ y/o Karaoke para grupos mayores a 50 Pax,390000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_SALON_CHINOOK_CON_FOGATA_HASTA_300_PERSONAS_4_HORAS_NOCHE,"Perfil Salon chinook con fogata, hasta 300 personas, 4 horas noche",500000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_SALON_CHINOOK_CON_FOGATA_HASTA_300_PERSONAS,"Perfil Salon chinook con fogata, hasta 300 personas",750000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COMEDOR_VIP_CON_FOGATA_2_PISO_HASTA_70_PERSONAS_4_HORAS_NOCHE,"Perfil Comedor VIP con fogata, 2 piso hasta 70 personas, 4 horas noche",360000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COMEDOR_VIP_CON_FOGATA_2_PISO_HASTA_70_PERSONAS,"Perfil Comedor VIP con fogata, 2 piso hasta 70 personas",540000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ESPACIO_DEL_BAR_PARA_KARAOKE_HASTA_50_PERSONAS_POR_4_HRS_NOCHE,"Perfil Espacio del Bar para karaoke, hasta 50 personas por 4 hrs noche",300000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DOMO_PARA_FIESTAS_CON_FOGATA_HASTA_250_PERSONAS_4_HORAS_NOCHE,"Perfil Domo para fiestas con fogata, hasta 250 personas, 4 horas noche",600000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_LOUNGE_EN_TERRAZAS_SILLONES_MESAS_Y_FOGONES_HASTA_50_PAX_VALOR_PERSONA,"Perfil Lounge en terrazas (sillones, mesas y fogones), hasta 50 pax. Valor  persona",0,8000,0,0,true,2026-02-19T16:42:08.795Z
PROF_TICKET_DE_TRAGO,Perfil Ticket de trago,4850,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TICKET_DE_CERVEZA,Perfil Ticket de cerveza,3529,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TICKET_DE_TRAGO_VIP,Perfil Ticket de trago Vip,6800,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BAR_ABIERTO_4_HORAS_VALOR_POR_PERSONA,"Perfil Bar abierto 4 horas, valor por persona",30800,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_HORA_EXTRA_BAR_ABIERTO_POR_PERSONA,Perfil Hora extra Bar abierto por persona,10010,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BAR_ABIERTO_SIN_ALCOHOL_4_HORAS_VALOR_POR_PERSONA,"Perfil Bar abierto sin alcohol 4 horas, valor por persona",32000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_HORA_EXTRA_BAR_ABIERTO_SIN_ALCOHOL_POR_PERSONA,Perfil Hora extra Bar abierto sin alcohol por persona,10400,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BAR_ABIERTO_VIP_4_HORAS_VALOR_POR_PERSONA,"Perfil Bar abierto VIP  4 horas, valor por persona",38000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_HORA_EXTRA_BAR_ABIERTO_VIP_POR_PERSONA,Perfil Hora extra Bar abierto Vip por persona,12350,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BAR_ABIERTO_DE_BEBIDAS_EN_VASO_POR_4_HORAS_POR_PERSONA,"Perfil Bar Abierto de bebidas en vaso por 4 horas, por persona",12000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BAR_ABIERTO_DE_BEBIDAS_EN_VASO_POR_8_HORAS_POR_PERSONA,"Perfil Bar Abierto de bebidas en vaso por 8 horas, por persona",20000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BEBIDAS,Perfil Bebidas,1933,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TICKET_DE_BEBIDA_O_AGUA,Perfil Ticket de bebida o agua,1933,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BARRIL_DE_CERVEZA_KUNTSMAN_TOROBAYO_30L,Perfil Barril de cerveza kuntsman torobayo 30L,220000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BEBESTIBLES_ADICIONALES_EN_SALON_BEBIDAS_JUGOS_NATURALES_AGUA_MINERAL,"Perfil Bebestibles adicionales en Salón (Bebidas, Jugos Naturales, Agua Mineral)",0,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_VINO_CASTILLO_MOLINA,Perfil Vino Castillo Molina,13025,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_VINO_CASILLERO_DEL_DIABLO_RESERVA_ESPECIAL,Perfil Vino Casillero del diablo Reserva Especial,13445,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_VINO_MARQUES_CASA_CONCHA,Perfil Vino Marques Casa Concha,20168,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIO_DE_HORARIO_DEL_DESAYUNO_1_HORA_MINIMO_30_PERSONAS,"Perfil Cambio de horario del desayuno 1 hora, minimo 30 personas",6500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIO_DE_HORARIO_DEL_DESAYUNO_POR_MEDIA_HORA_MINIMO_30_PERSONAS,"Perfil Cambio de horario del desayuno por media hora , minimo 30 personas",4000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIO_DE_HORARIO_DE_ALMUERZO_POR_MEDIA_HORA_MINIMO_30_PERSONAS,"Perfil Cambio de horario de almuerzo por media hora, minimo 30 personas",6500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_EXTENSION_MEDIA_HORA_HORARIO_DE_CENA,Perfil Extension media hora horario de cena,8000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CAMBIO_DE_LUGAR_DE_SERVICIO_DE_ALIMENTACION,Perfil Cambio de lugar de servicio de alimentacion,10000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DESAYUNO,Perfil Desayuno,12500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_DESAYUNO_INCLUIDO_POR_ALOJAMIENTO,Perfil Desayuno incluido por alojamiento,0,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ALMUERZO_SUGERENCIAS_DEL_CHEF_EN_FORMATO_BUFFET_MAS_DE_30_PASAJEROS_MENOS_DE_30_ES_CARTA,"Perfil Almuerzo Sugerencias del chef  en formato Buffet, mas de 30 pasajeros. Menos de 30 es carta",27311,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CENA_SUGERENCIAS_DEL_CHEF_EN_FORMATO_BUFFET_MAS_DE_30_PASAJEROS_MENOS_DE_30_ES_CARTA,"Perfil Cena Sugerencias del chef  en formato Buffet, mas de 30 pasajeros. Menos de 30 es carta",27311,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ALMUERZO_O_CENA_A_LA_CARTA,Perfil Almuerzo o cena a la carta,35000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ALMUERZO_O_CENA_A_LA_CARTA_VIP,Perfil Almuerzo o cena a la carta VIP,45000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CENA_O_ALMUERZO_PARRILLA_30_O_MAS_PAX,"Perfil Cena o Almuerzo parrilla, 30 o mas  pax",35000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CENA_O_ALMUERZO_PARRILLA_MENOS_DE_30_PAX,"Perfil Cena o Almuerzo parrilla, menos de 30 pax",45000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_ONCE,Perfil Once,9800,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_BOX_LUNCH_COMO_UNA_ONCE_EN_CAJITAS_INDIVIDUALES_PARA_QUE_SE_LA_PUEDAN_LLEVAR,Perfil Box lunch (Como una Once en cajitas individuales para que se la puedan llevar),12000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CATA_DE_VINOS_CON_SOMELIER_MINIMO_10_PERSONAS_Y_HASTA_40_DURACION_1_HORA,"Perfil Cata de vinos con somelier, minimo 10 personas y hasta 40.  Duración 1 hora",300000,24000,0,0,true,2026-02-19T16:42:08.795Z
PROF_PICOTEO_PARRILLANDO_CON_AMIGOS_MINIMO_20_PERSONAS,Perfil Picoteo parrillando con amigos: minimo 20 personas,400000,20000,0,0,true,2026-02-19T16:42:08.795Z
PROF_APERITIVO_TEMATICO_JUGANDO_EN_LA_BARRA_MINIMO_20_PERSONAS_MAXIMO_1_5_HORAS,"Perfil Aperitivo tematico: Jugando en la barra, minimo 20 personas. Maximo 1,5 horas",400000,20000,0,0,true,2026-02-19T16:42:08.795Z
PROF_TABLA_DE_QUESO_6_PAX,Perfil Tabla de Queso 6 Pax,30000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TABLA_FIAMBRES_6_PAX,Perfil Tabla Fiambres 6 Pax,30000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TABLA_MIXTA_QUESOS_Y_FIAMBRES_6_PAX,Perfil Tabla Mixta Quesos y Fiambres 6 pax,30000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TABLA_MIX_TAPADITOS_QUICHES_Y_MINI_EMPANADAS_6_PAX,"Perfil Tabla Mix Tapaditos, Quiches y Mini Empanadas 6 pax",60000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_TABLA_VEGANA_6_PAX,Perfil Tabla vegana 6 pax,60000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COCTAIL_BASICO_MINIMO_15_PASAJEROS,"Perfil Coctail basico, minimo 15 pasajeros.",13200,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_COCTAIL_CHILENO_MINIMO_15_PASAJEROS,"Perfil Coctail chileno, minimo 15 pasajeros.",15000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_CORDERO_A_LA_ESPADA_CORDERO_CON_PAN_AMASADO_Y_SALSAS_PARA_20_PAX,Perfil Cordero a la espada (Cordero con pan amasado y salsas para 20 pax),380000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_PIERNA_DE_CERDO_16_HRS_AL_HORNO_CON_AMASADO_Y_3_SALSAS_PARA_PICOTEO,"Perfil Pierna de cerdo 16 hrs al horno, con amasado y 3 salsas para picoteo",380000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_EMPANADAS_COCTEL_PINO_QUESO_Y_NAPOLITANA,"Perfil Empanadas coctel( pino, queso y napolitana)",1000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_SERVICIO_DE_TRASNOCHE_CONSOME_250CC_CON_2_TAPADITOS,Perfil Servicio de trasnoche Consome 250cc con 2 tapaditos,50000,10000,0,0,true,2026-02-19T16:42:08.795Z
PROF_PUNTO_DE_HIDRATACION,Perfil Punto de hidratación,6000,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_1_FRUTA_DE_ESTACION,Perfil 1 fruta de estación,1500,0,0,0,true,2026-02-19T16:42:08.795Z
PROF_1_BARRA_DE_CEREAL,Perfil 1 barra de cereal,1500,0,0,0,true,2026-02-19T16:42:08.795Z
