ID_Regla,Nombre,Etapa,Scope,Tipo_Accion,Hook,Condicion_JSON,Payload_JSON,Prioridad,Acumulable,Activo,Updated_At
R_AUT_0001,"Maximo 320 pax - Salon Chinook uso diurno, hasta 320 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_SALON_CHINOOK_USO_DIURNO_HASTA_320_PERSONAS""]},{"">"":[{""var"":""item.pax""},320]}]}","{""message"":""Este item permite maximo 320 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0002,"Maximo 120 pax - Salon Coho uso diurno, hasta 120 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_SALON_COHO_USO_DIURNO_HASTA_120_PERSONAS""]},{"">"":[{""var"":""item.pax""},120]}]}","{""message"":""Este item permite maximo 120 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0003,"Maximo 70 pax - Salon Fario uso diurno, hasta 70 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_SALON_FARIO_USO_DIURNO_HASTA_70_PERSONAS""]},{"">"":[{""var"":""item.pax""},70]}]}","{""message"":""Este item permite maximo 70 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0004,"Maximo 70 pax - Salón Arcoiris uso diurno, hasta 70 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_SALON_ARCOIRIS_USO_DIURNO_HASTA_70_PERSONAS""]},{"">"":[{""var"":""item.pax""},70]}]}","{""message"":""Este item permite maximo 70 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0005,"Maximo 35 pax - Comedor truchita o ex pool y terraza para 35 personas, 8 horas uso diurno",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_COMEDOR_TRUCHITA_O_EX_POOL_Y_TERRAZA_PARA_35_PERSONAS_8_HORAS_USO_DIURNO""]},{"">"":[{""var"":""item.pax""},35]}]}","{""message"":""Este item permite maximo 35 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0006,"Maximo 35 pax - Comedor truchita o ex pool y terraza para 35 personas 1,5 horas / AM O PM (ALMUERZO O CENA)",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_COMEDOR_TRUCHITA_O_EX_POOL_Y_TERRAZA_PARA_35_PERSONAS_1_5_HORAS_AM_O_PM_ALMUERZO_O_CENA""]},{"">"":[{""var"":""item.pax""},35]}]}","{""message"":""Este item permite maximo 35 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0007,"Maximo 300 pax - Salon chinook con fogata, hasta 300 personas, 4 horas noche",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_SALON_CHINOOK_CON_FOGATA_HASTA_300_PERSONAS_4_HORAS_NOCHE""]},{"">"":[{""var"":""item.pax""},300]}]}","{""message"":""Este item permite maximo 300 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0008,"Maximo 300 pax - Salon chinook con fogata, hasta 300 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_SALON_CHINOOK_CON_FOGATA_HASTA_300_PERSONAS""]},{"">"":[{""var"":""item.pax""},300]}]}","{""message"":""Este item permite maximo 300 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0009,"Maximo 70 pax - Comedor VIP con fogata, 2 piso hasta 70 personas, 4 horas noche",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_COMEDOR_VIP_CON_FOGATA_2_PISO_HASTA_70_PERSONAS_4_HORAS_NOCHE""]},{"">"":[{""var"":""item.pax""},70]}]}","{""message"":""Este item permite maximo 70 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
R_AUT_0010,"Maximo 70 pax - Comedor VIP con fogata, 2 piso hasta 70 personas",RESTRICCION_UI,ITEM,ERROR,,"{""and"":[{""==="":[{""var"":""item.id""},""ITEM_COMEDOR_VIP_CON_FOGATA_2_PISO_HASTA_70_PERSONAS""]},{"">"":[{""var"":""item.pax""},70]}]}","{""message"":""Este item permite maximo 70 pax.""}",20,false,true,2026-02-19T23:30:00.000Z
