Dia 1,Hora,Uds,Nº Pax,Valor,Total,Detalle de servicios.
"Cena Sugerencias del chef  en formato Buffet, mas de 30 pasajeros",19:30- 21:00,1,12,25210,302520,"Buffet tenedor libre con variedades de ensaladas, guarnisiones y acompañamientos calientes . Horario cena desde 19:30 hasta 21:00. No incluye bebidas ni aperitivos. Si en el hotel hay menos de 30 personas el servicio a la carta, si es mas de 30 personas será buffet."
Bebidas ,19:30- 21:00,2,12,1933,46392,Lata de bebida  ccu
Ticket de trago,,2,12,4850,116400,"1 trago por persona entre: Piscola (Mistral o 3R), Roncola (Havanna),  vodka (wyborowa), Whisky( Ballantines finest 3 años), Gin beefeter, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada, Copa de vino castillo molina( blanco y tinto) , copa de espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken,  Austral y Kunstmann. Las bebidas son de marcas CCU."
Habitación single hotel,,1,12,120630,1447560,"Check in de habitaciones desde las 4 PM.Incluye: desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, baby futbol y piscina temperada/exterior (previa confirmación de horarios)"
,,,,,1912872,
Dia 2,Hora,Uds,Nº Pax,Valor,Total,Detalle de servicios.
Desayuno incluido por alojamiento,8:30-10:00,1,12,0,0,"Café, té, leche, yogurt, jamón, queso, huevos, mermeladas, mantequilla, panes, minipastelitos y cereales"
Naufrago para 12 personas / 3 grupos/ al azar / colores al azar,10:00-12:00,1,12,,1144000,Según PDF enviado
"Almuerzo Sugerencias del chef  en formato Buffet, mas de 30 pasajeros",13:30- 15:00,1,12,25210,302520,"Buffet tenedor libre con variedad de ensaladas, guarniciones y acompañamientos calientes. No incluye bebidas ni aperitivos. Si en el hotel hay menos de 30 personas el servicio a la carta, si contamos con mas de 30 personas será buffet.  Horario almuerzo desde 13:30 hasta 15:00 hrs"
Bebidas ,13:30- 15:00,2,12,1933,46392,Lata de bebida  ccu
"Salon Fario uso diurno, hasta 70 personas ",8:30-19:30,1,1,242000,242000,"Equipado con telón, papelógrafo, aire acondicionado y calefacción, 8 h Día. (  ESCUELA)"
"Cena Sugerencias del chef  en formato Buffet, mas de 30 pasajeros",19:30- 21:00,1,12,25210,302520,"Buffet tenedor libre con variedades de ensaladas, guarnisiones y acompañamientos calientes . Horario cena desde 19:30 hasta 21:00. No incluye bebidas ni aperitivos. Si en el hotel hay menos de 30 personas el servicio a la carta, si es mas de 30 personas será buffet."
Bebidas ,19:30- 21:00,2,12,1933,46392,Lata de bebida  ccu
Habitación single hotel,,1,12,120630,1447560,"Check in de habitaciones desde las 4 PM.Incluye: desayuno, cabalgatas, canopy, kayak, botes, standup paddle, canchas tenis, baby futbol y piscina temperada/exterior (previa confirmación de horarios)"
"Bar abierto VIP  4 horas, valor por persona",,1,12,38000,456000,"Piscola ( Mistral Nobel o 3R doble destilado), Roncola (Havanna reserva), Vodka( Absolut), Whisky (ballantines 7 años),Gin Kantal, Tequila Olmeca, Ramazzotti,  Daiquiri, Pisco sour, Kir Royal, Piña Colada, Vino  Gran Tarapacá( blanco y tinto) , Espumante Viña Mar Brut, cervezas en botella tales como Sol, Heineken,  Austral, Kunstmann botella y Barril Schop Kunstmann. Las bebidas son de marcas CCU."
"Salon chinook, hasta 300 personas, 4 horas noche",21:00- 1:00,,,500000,500000,Salon para fiestas y karaokes con terraza exclusiva 
DJ por 4 horas para grupos menores a  35 pax,21:00- 1:00,,,750000,750000,"Dj por 4 horas, incluye espacio fisico para realizar la actividad"
,,,,,5237384,
Dia 3,Hora,Uds,Nº Pax,Valor,Total,Detalle de servicios.
Desayuno,8:30-10:00,1,12,0,0,"Café, té, leche, yogurt, jamón, queso, huevos, mermeladas, mantequilla, panes, minipastelitos y cereales"
Paintball para 12 personas,10:00-11:30,1,1,1525000,1525000,Según PDF enviado / 100 bolas de pintura por persona
"Almuerzo Sugerencias del chef  en formato Buffet, mas de 30 pasajeros",13:30- 15:00,1,12,25210,302520,"Buffet tenedor libre con variedad de ensaladas, guarniciones y acompañamientos calientes. No incluye bebidas ni aperitivos. Si en el hotel hay menos de 30 personas el servicio a la carta, si contamos con mas de 30 personas será buffet.  Horario almuerzo desde 13:30 hasta 15:00 hrs"
Uso de actividades por cortesía,Ver horarios publicados en recepción ,,0,0,0,"Cabalgatas, canopy, kayak, botes, stand up paddle, cancha de tenis, minigolf, piscina temperada, piscina exterior, camillas de cuarzo, circuitos de trekking etc.."
,,,,,1827520,
