Teambuilding,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
Paintball,,,,1.000.000+ 35.000 por persona,,"Juego de paintball, incluye un agua por persona. Duracion aproximada 2 horas. Inlcuye primera carga de pelotas, con posibilidad de recarga por 15.000+ iva por persona"
Busqueda de tesoro,,,,500.000+ 15.000 por persona,,"duracion actividad 2,5 horas"
Actividad de la luz,21:30- 23:00,,,500.000+ 15.000 por persona,,"duracion actividad 1,5 horas aprox"
Alianzas,,,,500.000+ 15.000 por persona,,Duracion 2 horas aprox
El herido,,,,500.000+ 15.000 por persona,,"Duracion 2,5 horas aprox"
"El Naufrago, La balsa",,,,1.000.000 + 20.000 por persona,,duracion 2 horas aprox
El Naufrago Full,,,,1.000.000+ 35.000 por persona,,"Duracion 2,5 horas aprox"
Conquistando la Cumbre,,,,500.000+ 15.000 por persona,,
Tiro con Arco,,,,300.000+ 15.000 por persona,,
Mision y Vision,,,,500.000+ 15.000 por persona,,
Fabrica de sal,,,,500.000+ 15.000 por persona,,duracion 1 hora aprox
Cocinando Equipos,,,,750.000 + 55.000 por persona,,
Gran Chef,,,,750.000+30.000 por persona,,Cada grupo debe preparar los mejores platos
Parrillando en Equipo,,,,500.000+ 65.000 por persona,,
Karaoke con copas y tapas,,,,650.000+ 46.800 por persona,,
Cordero & Vinos,,,,500.000+ 50.000 por persona,,
Cata de Vinos,,,,300.000+ 24.000 por persona,,
Taller de Pizzas & Birra,,,,600.000+ 30.000 por persona,,
"Taller de brasas y tinto, sabores al fuego",,,,650.000+ 45.000 por persona,,
