year,item_id,item_name,source_subcategory,source_category,source_file,pricing_ids,rule_ids,area,subarea,catop,subcatop,confidence,notes
2026,ARRIENDO_CANA_PESCA,Arriendo de Caña,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_ARRIENDO_CANA_PESCA_0142,,teambuilding,outdoor,recurso,equipamiento,medium,equipment rental treated as resource
2026,ARRIENDO_KAYAK_SUP,Arriendo de kayak o SUP,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_ARRIENDO_KAYAK_SUP_0151,,teambuilding,outdoor,recurso,equipamiento,medium,equipment rental treated as resource
2026,CAMINATA_MIRADOR_EXCLUSIVA,Caminata al mirador exclusiva,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_CAMINATA_MIRADOR_EXCLUSIVA_0138,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,CAMINATA_LA_TENCA_EXCLUSIVA,Caminata la tenca exclusiva,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_CAMINATA_LA_TENCA_EXCLUSIVA_0137,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,CANCHA_FUTBOL,Cancha de Futbol,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_CANCHA_FUTBOL_0153,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,CANOPY_EXCLUSIVO,Canopy exclusivo,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_CANOPY_EXCLUSIVO_0152,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,CLASE_PESCA_MOSCA_3H,Clase de pesca con mosca 3 horas,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_CLASE_PESCA_MOSCA_3H_0141,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,FOGATA_GRANDE,Fogata grande,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_FOGATA_GRANDE_0140,,teambuilding,outdoor,recurso,equipamiento,medium,fire setup/use treated as resource
2026,FOGON_PEQUENO,Fogon pequeño,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_FOGON_PEQUENO_0139,,teambuilding,outdoor,recurso,equipamiento,medium,fire setup/use treated as resource
2026,GUIAS_EXCLUSIVOS_CAMINATAS,Guias exclusivos para caminatas,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_GUIAS_EXCLUSIVOS_CAMINATAS_0136,RULE_GUIAS_EXCLUSIVOS_CAMINATAS_0077,teambuilding,outdoor,recurso,personal,medium,guide staffing treated as resource
2026,LAGUNA_KAYAK,Laguna Kayak,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_LAGUNA_KAYAK_0150,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,PASEO_CABALLO_ALTOS_GUINDO,Paseo a caballo Altos del Guindo,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_PASEO_CABALLO_ALTOS_GUINDO_0145,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,PASEO_CABALLO_VERTIENTE_TORO,Paseo a caballo Vertiente del toro,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_PASEO_CABALLO_VERTIENTE_TORO_0144,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,PASEOS_CABALLO_EXCLUSIVOS,Paseos a Caballo exclusivos,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_PASEOS_CABALLO_EXCLUSIVOS_0143,RULE_PASEOS_CABALLO_EXCLUSIVOS_0078,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,SAFARI_ECUESTRE_TRACTOR,Safari ecuestre en tractor,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_SAFARI_ECUESTRE_TRACTOR_0146,RULE_SAFARI_ECUESTRE_TRACTOR_0079,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,USO_ACTIVIDADES_PAID,Uso de actividades,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_USO_ACTIVIDADES_PAID_0147,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,USO_ACTIVIDADES_CORTESIA,Uso de actividades por cortesía,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_USO_ACTIVIDADES_CORTESIA_0148,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
2026,YOGA,Yoga,Actividades,teambuilding_y_actividades_actividades,teambuilding_y_actividades_actividades.csv,PRICE_YOGA_0149,,teambuilding,outdoor,servicio,actividad_guiada,high,guided/outdoor activity service
